RefsPieces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
D53111089202-20301_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-B00-008', '2CC1-B00-005', '2CC1-400-031', '2CC1-800-401', 'FCA1-320-000',,,,,,,,,,,,,,,,,,,,,
F5311659320000_NH4E,'TOD1-H00-901', 'FAP1-800-001', 'FCA1-A50-007', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', '2CC1-D00-004', '2CC1-B00-001', '2CC1-800-503', '2CC1-D00-001', 'FCA1-330-003',,,,,,,,,,,,,,,,,
V53323576020-02100_NH4E,'TOD1-H00-009', 'FCA1-850-012', 'FCA1-B80-000', 'AHS1-C00-002', 'FCA1-370-000', '2CC1-E00-007', 'FCA1-D00-002', '2CC1-B00-009', 'AEX1-G66-004', '2CH1-D00-001',,,,,,,,,,,,,,,,,,
V5312696220000VERS01_NH4E,'TOD1-H00-901', '2CC1-D00-004', '2CC1-B00-012', 'FCA1-330-009', '2CC1-800-022', 'FAP1-800-001',,,,,,,,,,,,,,,,,,,,,,
A25213615202-20300_NH4E,'TOD1-H00-901', '2CC1-E00-008', '2CC1-B00-508', '2CC1-800-506', 'FCA1-A30-000', '2CC1-B00-005', '2CC1-D00-009', 'FCA1-320-002',,,,,,,,,,,,,,,,,,,,
V5392093220000_NH4E,'TOD1-H00-901', '2CC1-D00-004', 'FCA1-330-009', 'FCA1-250-001', 'FCA1-650-000', '2CC1-800-004', '2CC1-A00-005',,,,,,,,,,,,,,,,,,,,,
V5311188820200_NH4E,'TOD1-H00-901', 'FCA1-650-000', 'FAL1-C00-001', '2CC1-E00-014', '2CC1-E00-008', '2CC1-D00-008', 'FCA1-330-000', 'FCA1-410-000', '2CC1-B00-009', '3PQ1-I00-006',,,,,,,,,,,,,,,,,,
F53114526200-20100_NH4E,'TOD1-H00-901', '2CC1-D00-004', '2CC1-800-001', '2CC1-800-003', '2CC1-D00-009', 'FCA1-320-000', '2CC1-D00-008',,,,,,,,,,,,,,,,,,,,,
V5311819020000_NH4E,'TOD1-H00-010', '2CC1-B00-004', 'FCA1-850-012', '2CC1-B00-005', 'AEX1-K63-001', '2CH1-D00-001', 'FCA1-330-000', '2CC1-E00-014', 'FCA1-250-001', 'FAL1-C00-001',,,,,,,,,,,,,,,,,,
V53910984200-20100_NH4E,'TOD1-H00-901', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-E00-014', 'FCA1-250-001', 'FCA1-810-003', '2CC1-B00-008', '2CC1-B00-005', '2CC1-A00-005',,,,,,,,,,,,,,,,,,
M2512267320000_NH4E,'TOD1-H00-901', '2CC1-800-041', 'FCA1-650-000', 'FAL1-C00-001', '2CC1-E00-014', '2CC1-D00-002', '2CC1-B00-002', 'FCA1-320-002', 'FCA1-500-000', 'FCA1-250-001', '2CC1-800-001',,,,,,,,,,,,,,,,,
V5391093420000_NH4E,'2CC1-D00-006', '2CC1-B00-010', 'FCA1-560-000', 'FCA1-250-001', '2CC1-800-007', '2CC1-800-001',,,,,,,,,,,,,,,,,,,,,,
E5323331820000_NH4E,'TOD1-H00-901', '2CC1-D00-012', 'FCA1-320-002', 'FCA1-570-003', 'FCA1-A50-007', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-B00-009', '2CC1-A00-006', '2CC1-E00-014',,,,,,,,,,,,,,,,,,
E5323606420000_NH4E,'TOD1-H00-901', 'FCA1-850-012', 'FCA1-800-000', '2CC1-E00-001', 'FAL1-C00-001', '2CC1-A00-005', '2CC1-E00-014', '2CC1-D00-010', 'FCA1-D00-002', 'FCA1-320-004', 'FCA1-400-003', '2CC1-B00-599', '2CC1-800-049', 'FAP1-800-001', '2CC1-F00-002',,,,,,,,,,,,,
V5711009320000_NH4E,'TOD1-H00-901', '2CC1-E00-004', 'FCA1-850-012', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', '2CC1-D00-004', 'FCA1-500-000', 'FCA1-770-000', 'ACW1-793-001', '2CC1-800-506', '2CC1-B00-009',,,,,,,,,,,,,,,,
